上櫃股票行情(含等價、零股、盤後、鉅額交易),,,,,,,,,,,,,,,,,,
資料日期:113/05/28,,,,,,,,,,,,,,,,,,
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
6201,元大富櫃50,22.31,0.26,22.09,22.31,22.09,22.19,120797,2680662,56,22.29,4,22.31,8,15446000,22.31,24.54,20.08
00679B,元大美債20年,28.95,-0.07,28.97,28.99,28.92,29.05,47005045,1365477340,16305,28.94,976,28.95,2454,7355192000,28.95,9999.95,0.01
00687B,國泰20年美債,30.45,-0.06,30.49,30.49,30.42,30.45,26956993,820830515,7053,30.44,200,30.45,1832,4934787000,30.45,9999.95,0.01
00694B,富邦美債1-3,40.92,-0.07,41.03,41.03,40.9,40.93,1452124,59433499,35,40.9,148,40.92,3,194076000,40.92,9999.95,0.01
00695B,富邦美債7-10,34.82,-0.06,34.85,34.85,34.81,34.82,118272,4118447,36,34.81,16,34.83,5,34686000,34.82,9999.95,0.01
00696B,富邦美債20年,31.15,-0.06,31.2,31.21,31.11,31.16,6116403,190610993,445,31.14,1162,31.15,368,1129681000,31.15,9999.95,0.01
00697B,元大美債7-10,35.44,-0.04,35.48,35.48,35.41,35.44,203138,7199386,159,35.43,13,35.44,16,30212000,35.44,9999.95,0.01
00718B,富邦中國政策債,20.4,-0.04,20.4,20.42,20.4,20.41,111000,2265420,8,20.4,1,20.42,20,483501000,20.4,9999.95,0.01
00719B,元大美債1-3,31.41,-0.04,31.45,31.45,31.4,31.41,1509581,47423079,471,31.4,205,31.41,412,389014000,31.41,9999.95,0.01
00720B,元大投資級公司債,34.89,-0.07,34.92,34.93,34.87,34.89,13460817,469650936,4144,34.88,297,34.89,8,4108609000,34.89,9999.95,0.01
00721B,元大中國債3-5,46.23,-0.18,46.23,46.23,46.23,46.23,31003,1433267,4,46.23,2,46.4,2,4622000,46.23,9999.95,0.01
00722B,群益投資級電信債,38.24,-0.07,38.24,38.27,38.2,38.23,4235736,161941846,527,38.24,150,38.25,237,1424739000,38.24,9999.95,0.01
